estmethod,imv_full,imv_mean,imv_sd,attribute,modeltype,rep
MAP,0.03491014597939987,0.04149999423371021,0.006365916786447754,linear,DINA,47
mp,0.03637546559014949,0.05235033839628297,0.006273152094111497,linear,DINA,47
MAP,NA,NA,NA,linear,DINA,48
mp,NA,NA,NA,linear,DINA,48
MAP,0.03192563658930389,0.03534208800904479,0.010740451961156467,linear,DINA,49
mp,0.03410715269537348,0.04680939873820587,0.007168190039964637,linear,DINA,49
MAP,0.037864492232410285,0.05048329305859677,0.005103185549362209,linear,DINA,50
mp,0.041352479206229364,0.05767622812942104,0.0033986230453579313,linear,DINA,50
MAP,0.030793911196039723,0.03143755310453718,0.007986852271249059,linear,DINA,51
mp,0.03307629012824974,0.04322081362652028,0.004777913227650992,linear,DINA,51
MAP,0.02590557301765616,0.03708973258227022,0.008361662893436286,linear,DINA,52
mp,0.027786340369157086,0.04284943707730609,0.0073115007259886506,linear,DINA,52
MAP,0.028939528400871068,0.0366116588640634,0.006303323646515335,linear,DINA,53
mp,0.03155071642571361,0.04306377680419572,0.005340290185088693,linear,DINA,53
MAP,0.03246541887138215,0.04237790512225788,0.00792839695586357,linear,DINA,54
mp,0.035016407061438534,0.0503685765206324,0.005632970954144792,linear,DINA,54
MAP,0.029358261345702043,0.04043660426590846,0.008560573596211294,linear,DINA,55
mp,0.031060960499358296,0.0458411230511791,0.007916834665121011,linear,DINA,55
MAP,0.036867768471495824,0.054893199515714156,0.00857069869867938,linear,DINA,56
mp,0.03887623438441037,0.061108194571716956,0.006786381258196635,linear,DINA,56
MAP,0.03335729471633373,0.039436455218429076,0.008796890712804028,linear,DINA,57
mp,0.03641355208705113,0.047935947890853065,0.007157270178467315,linear,DINA,57
MAP,0.03328122608430516,0.041114764706195066,0.004727198652973899,linear,DINA,58
mp,0.03664310699829154,0.04824059493730032,0.003642592779154827,linear,DINA,58
MAP,0.03543691242787594,0.027771413740295695,0.01124674796113057,linear,DINA,59
mp,0.038553771539962915,0.050742978290995305,0.007751600538729937,linear,DINA,59
MAP,0.032474459229202335,0.04472594752203386,0.005600178429258198,linear,DINA,60
mp,0.03412693994608822,0.05412160617235613,0.005419607812485559,linear,DINA,60
MAP,0.030164062972756523,0.0330358110117057,0.002326819334723739,linear,DINA,61
mp,0.03186412215084639,0.04148587047129584,0.0050762681743669,linear,DINA,61
MAP,0.030679241965831737,0.03209130219358791,0.002623555200927116,linear,DINA,62
mp,0.03435575827535223,0.04257603427764268,0.0029178401580751846,linear,DINA,62
MAP,0.03519244713448389,0.0417109995847715,0.0056547994842845156,linear,DINA,63
mp,0.03816901745460482,0.05199718491484328,0.003015622404614285,linear,DINA,63
