estmethod,imv_full,imv_mean,imv_sd,attribute,modeltype,rep
mp,0.03051278482168367,0.031533732125919464,0.0054786929235189335,linear,GDINA,56
MAP,0.03150999766718355,0.028222630042232504,0.009135112310010119,linear,GDINA,57
mp,0.03583993766829574,0.04181752550014597,0.00489313322773848,linear,GDINA,57
MAP,0.029774596493156325,0.019532564002043448,0.011147756428529842,linear,GDINA,58
mp,0.033247924685632695,0.037099473900619344,0.00255390592338856,linear,GDINA,58
MAP,0.027930610914748934,0.02492529091098627,0.0074448734527645605,linear,GDINA,59
mp,0.03183638377989391,0.038145262254534296,0.002701304806515778,linear,GDINA,59
MAP,0.03552990096129816,0.026070404805738728,0.008670418064404328,linear,GDINA,60
mp,0.039641429841447515,0.04620830328414155,0.005102059327347664,linear,GDINA,60
MAP,0.026537812915545467,0.005875149515851531,0.008854073383351433,linear,GDINA,61
mp,0.0332658160200254,0.029420676010299886,0.00441470777040901,linear,GDINA,61
MAP,0.03035237268153008,0.026516695177179403,0.009066869175687,linear,GDINA,62
mp,0.03432688121815655,0.04140443314972069,0.004556047044048522,linear,GDINA,62
MAP,0.024351181970885545,0.020330886837103632,0.014037839970563902,linear,GDINA,63
mp,0.027226258635144697,0.029472165265686114,0.016972135448869788,linear,GDINA,63
MAP,0.032772514428073496,0.01956095854016835,0.017484101769821552,linear,GDINA,64
mp,0.03804176553654198,0.04255292752847962,0.00808934943140323,linear,GDINA,64
MAP,0.02625209658872829,0.017383574481630044,0.006610404724031843,linear,GDINA,65
mp,0.029749416562177517,0.03492901463764919,0.006163532129759488,linear,GDINA,65
MAP,0.030183922781469714,0.013339228562097804,0.0042177639318972966,linear,GDINA,66
mp,0.03311075047427655,0.03641606651396307,0.0033383627669590554,linear,GDINA,66
MAP,0.02148927438671256,0.011223616462411658,0.015163162906184318,linear,GDINA,67
mp,0.02553873459624402,0.029593582913029336,0.006205112438770956,linear,GDINA,67
MAP,0.029206613935635596,0.020497255728921433,0.007512399199495009,linear,GDINA,68
mp,0.03275680416077668,0.038872257114448965,0.008778316554637983,linear,GDINA,68
MAP,0.02095971077221066,0.015238692266524434,0.010591509945813819,linear,GDINA,69
mp,0.02416247091212429,0.03142919300264542,0.005055848785491241,linear,GDINA,69
MAP,0.03404144237167259,0.023550508305446183,0.011380233049040907,linear,GDINA,70
mp,0.03980753478302938,0.03864172527252929,0.0065939215992584345,linear,GDINA,70
