imv_full,imv_mean,imv_sd,estmethod,attribute,modeltype,rep
0.03962064739703112,0.021914555459411216,0.008538201283940021,MAP,converg,GDINA,2
0.04480652072370294,0.04539904690647074,0.007926391918359166,mp,converg,GDINA,2
0.043660270076592206,0.043022177962078946,0.008111240171547109,MAP,converg,GDINA,3
0.04764835970944782,0.055765613680991886,0.005183927230354447,mp,converg,GDINA,3
NA,NA,NA,MAP,converg,GDINA,4
NA,NA,NA,mp,converg,GDINA,4
0.03581911454314076,0.030844028280581123,0.00847195855419358,MAP,converg,GDINA,5
0.042374319348797894,0.04072641388106977,0.005618038651064275,mp,converg,GDINA,5
0.033387497549163106,0.020515519146068834,0.008488290127556725,MAP,converg,GDINA,6
0.03888783051340499,0.038666207011250765,0.006659280317435062,mp,converg,GDINA,6
0.04186536621081736,0.03929885867374093,0.008764089322232698,MAP,converg,GDINA,7
0.045549978127922074,0.04950315735116279,0.006138409320660913,mp,converg,GDINA,7
0.03187995837866687,0.01045076527966745,0.018447999915100113,MAP,converg,GDINA,8
NA,NA,NA,mp,converg,GDINA,8
0.041257501528210457,0.013129778897652662,0.00927080075756481,MAP,converg,GDINA,9
0.04763998886585288,0.04410114714993594,0.005405878136256653,mp,converg,GDINA,9
0.03624027632483766,0.023026101572647985,0.013726618493528677,MAP,converg,GDINA,10
0.040446425453768725,0.04105314303845707,0.004575460734219488,mp,converg,GDINA,10
0.06134594621992762,0.04459259440677307,0.008481551023431658,MAP,diverg,GDINA,1
0.06736931290683404,0.06698403946411612,0.010270773439013853,mp,diverg,GDINA,1
NA,NA,NA,MAP,diverg,GDINA,2
NA,NA,NA,mp,diverg,GDINA,2
0.07206131657297637,0.03982200784605455,0.014549925139714696,MAP,diverg,GDINA,3
0.0782779016846557,0.07770498651057009,0.0057810743171379814,mp,diverg,GDINA,3
0.07116950957297515,0.04866775339629599,0.010605409541238375,MAP,diverg,GDINA,4
0.07679310578715667,0.07883908927200999,0.004754848078416088,mp,diverg,GDINA,4
0.06973453498737846,0.040179730276606374,0.01691494423601053,MAP,diverg,GDINA,5
0.07638616059781263,0.07336015815855262,0.006208098115659256,mp,diverg,GDINA,5
0.06535571494506619,0.04495539042377571,0.01117608315665426,MAP,diverg,GDINA,6
0.07096918311430488,0.06923201071193416,0.007118526891139201,mp,diverg,GDINA,6
0.07210777982063231,0.038256053463604306,0.010067215064112553,MAP,diverg,GDINA,7
0.07883456286567986,0.0711462529786561,0.00866935109064027,mp,diverg,GDINA,7
0.08053325802184959,0.051152040904803894,0.0202256836906355,MAP,diverg,GDINA,8
0.08889304836772716,0.081687193441581,0.008488845487195553,mp,diverg,GDINA,8
0.07851402753866021,0.017479730392089596,0.01897351961736008,MAP,diverg,GDINA,9
0.08378791301732932,0.0794366588924127,0.008302662852695143,mp,diverg,GDINA,9
0.06361674304880532,0.026516689934977963,0.00814865639286906,MAP,diverg,GDINA,10
0.07202755139723133,0.061052109946296756,0.008263800134949383,mp,diverg,GDINA,10
0.10353029685494428,0.036141059778495625,0.01703100837115367,MAP,unstructured,GDINA,1
0.11391198425677776,0.09201451440044243,0.004833691703771049,mp,unstructured,GDINA,1
0.10035828533089453,0.026622199499408982,0.020316784285567803,MAP,unstructured,GDINA,2
0.1096598181923946,0.08487436765345881,0.012136979173623264,mp,unstructured,GDINA,2
0.1142406428789146,0.06553196162991277,0.012422443448123216,MAP,unstructured,GDINA,3
0.12285324615254568,0.11007085016549234,0.004013527181779836,mp,unstructured,GDINA,3
0.10102205623150572,0.07231032840249187,0.018577154936817292,MAP,unstructured,GDINA,4
0.10877501714566,0.09913843858311952,0.005455697688108857,mp,unstructured,GDINA,4
0.095517916252425,0.04447132095901423,0.02024955476607302,MAP,unstructured,GDINA,5
0.10284054858581887,0.08608396348714656,0.012641856165809975,mp,unstructured,GDINA,5
0.09683355473816899,0.03970064287295255,0.005366762672100379,MAP,unstructured,GDINA,6
0.10701795830034652,0.07959646110629912,0.00941099890186042,mp,unstructured,GDINA,6
0.10996794659549819,0.03254867254680773,0.03695829668813939,MAP,unstructured,GDINA,7
0.11586004736624124,0.10663125100070789,0.018929171165063596,mp,unstructured,GDINA,7
0.10197643705875069,0.026282455097670954,0.012799059246383665,MAP,unstructured,GDINA,8
0.11262386908466349,0.08323793129173866,0.010216728974968526,mp,unstructured,GDINA,8
0.10939068035354291,0.04226218929864735,0.016864245388219724,MAP,unstructured,GDINA,9
0.12100326922890976,0.09873247792201671,0.00910417233246364,mp,unstructured,GDINA,9
0.11910680153923944,0.055203656611551286,0.020028927498840884,MAP,unstructured,GDINA,10
0.12980440895990702,0.11158874800605727,0.007744106155633724,mp,unstructured,GDINA,10
