imv_full,imv_mean,imv_sd,estmethod,attribute,modeltype,rep
0.08646583927587888,0.05763528462357511,0.01476588203787773,MAP,higher.order,DINA,4
0.09278700688480575,0.08793831972101432,0.007086715314973268,mp,higher.order,DINA,4
0.07962517230913402,0.042716897747307823,0.01432952862765991,MAP,higher.order,DINA,5
0.08515490816534461,0.08112144925228824,0.005201502959412155,mp,higher.order,DINA,5
0.07928725149560346,0.054317190600856186,0.008578672096957566,MAP,higher.order,DINA,6
0.08393450798209241,0.08303333033189711,0.004520394572169252,mp,higher.order,DINA,6
0.07865334297816196,0.06445986660378093,0.006463927884381267,MAP,higher.order,DINA,7
0.08316244076820493,0.08550057679322948,0.009748219487365713,mp,higher.order,DINA,7
0.07580718618662731,0.06043584755230981,0.01273744230057312,MAP,higher.order,DINA,8
0.08022814933937625,0.08051458065477134,0.005893764157094293,mp,higher.order,DINA,8
0.08823916696143894,0.059215809015988795,0.011020602308802415,MAP,higher.order,DINA,9
0.09302770055063661,0.10030357469102448,0.005304567066816265,mp,higher.order,DINA,9
0.07863170546331232,0.04116823824638181,0.008360161519837863,MAP,higher.order,DINA,10
0.08489902109134137,0.07553258637837446,0.005058024748503185,mp,higher.order,DINA,10
0.04318327355415435,0.05242291160300733,0.006251753179238247,MAP,converg,DINA,1
0.04448672150392986,0.06249658389319141,0.0030906760148294776,mp,converg,DINA,1
0.05076302784470762,0.059263080438894895,0.004769534100166526,MAP,converg,DINA,2
0.05366773402525835,0.06859530534189953,0.0032263242696240146,mp,converg,DINA,2
0.048559143388335904,0.056394705314821054,0.007000908559036758,MAP,converg,DINA,3
0.05206202102847759,0.06616932307682162,0.008176748353389055,mp,converg,DINA,3
0.041601237052798445,0.03990780692639122,0.00855664723285347,MAP,converg,DINA,4
0.04559778239163239,0.05211897048976794,0.004023688906241302,mp,converg,DINA,4
0.044269273819489696,0.047123128019903225,0.010430177996145725,MAP,converg,DINA,5
0.048154493576425234,0.05791887198842004,0.0037719233372080175,mp,converg,DINA,5
0.05139193998982584,0.05463251209618751,0.015242253302817225,MAP,converg,DINA,6
0.054516401673515125,0.06982349560230078,0.005364044039612281,mp,converg,DINA,6
0.048478091618127196,0.054840557876787786,0.00942546994022987,MAP,converg,DINA,7
0.052424093775278506,0.06493962015243412,0.012459385062127364,mp,converg,DINA,7
NA,NA,NA,MAP,converg,DINA,8
NA,NA,NA,mp,converg,DINA,8
NA,NA,NA,MAP,converg,DINA,9
NA,NA,NA,mp,converg,DINA,9
0.04507816707359995,0.05051600072677189,0.009494816255263473,MAP,converg,DINA,10
0.04733337098275508,0.05774753815478202,0.003831603158313476,mp,converg,DINA,10
0.07182425400297408,0.07435916350083958,0.01488079116330017,MAP,diverg,DINA,1
0.07618536330392549,0.09326763501164137,0.013296651857836916,mp,diverg,DINA,1
NA,NA,NA,MAP,diverg,DINA,2
NA,NA,NA,mp,diverg,DINA,2
0.0897469943466397,0.0983684668105826,0.010169189907996848,MAP,diverg,DINA,3
0.0923085608703749,0.11262206433053541,0.006875961706649494,mp,diverg,DINA,3
0.07418149032193239,0.08012180283906908,0.011195438622710474,MAP,diverg,DINA,4
0.07922686844312116,0.09013704227593129,0.0060361147668116935,mp,diverg,DINA,4
0.08291407214322832,0.07731928375900694,0.006145940194672643,MAP,diverg,DINA,5
0.0871403381644434,0.09786550522140797,0.00810039378738444,mp,diverg,DINA,5
0.0733042285513962,0.20336560918801078,0.27557569761836465,MAP,diverg,DINA,6
0.07585602368440413,0.2172058253679495,0.2906040090961619,mp,diverg,DINA,6
0.06840168337382346,0.06366935489271297,0.01465135025018799,MAP,diverg,DINA,7
0.07140573854615159,0.08277247958004258,0.011110168455355016,mp,diverg,DINA,7
0.07093533909409919,0.07540447444168585,0.005475322175470353,MAP,diverg,DINA,8
0.07529493917008023,0.08569380036325958,0.004003192100608685,mp,diverg,DINA,8
0.07468331161146177,0.06762886400794954,0.014348305295904636,MAP,diverg,DINA,9
0.07882822546651452,0.08899211312214048,0.006210858406416503,mp,diverg,DINA,9
0.07438995927524293,0.07753664592670773,0.019831276940665662,MAP,diverg,DINA,10
0.07773547857225012,0.0905839197599409,0.013154418149762651,mp,diverg,DINA,10
0.13852823925741267,0.14043675823309418,0.015910200199496884,MAP,unstructured,DINA,1
0.14427887123863106,0.15952914290709985,0.006737362304575746,mp,unstructured,DINA,1
0.13299659606323508,0.13871837680012988,0.010787625227245108,MAP,unstructured,DINA,2
0.1378095225029853,0.15757759268574192,0.016245396647620505,mp,unstructured,DINA,2
0.12256389745217953,0.12086761011253613,0.009705409516665545,MAP,unstructured,DINA,3
NA,NA,NA,mp,unstructured,DINA,3
0.11577105426522036,0.11876399065211876,0.013232658185057923,MAP,unstructured,DINA,4
0.12051225385275838,0.13601104854258494,0.009287879308595776,mp,unstructured,DINA,4
0.11803452537245814,0.11272519025895998,0.014486852850604463,MAP,unstructured,DINA,5
0.1229215207035666,0.13623281037884302,0.005229451315845027,mp,unstructured,DINA,5
0.12110303838274938,0.1101703849883204,0.012523482081091742,MAP,unstructured,DINA,6
0.12611706620889707,0.13817343197887003,0.01263360170161329,mp,unstructured,DINA,6
NA,NA,NA,MAP,unstructured,DINA,7
NA,NA,NA,mp,unstructured,DINA,7
0.13481597679465485,0.13104732249271142,0.008425918304520922,MAP,unstructured,DINA,8
0.14034323898747664,0.15376746544984432,0.006348616663675989,mp,unstructured,DINA,8
0.10788877833873145,0.08599637342317915,0.008546287844187565,MAP,unstructured,DINA,9
0.1145808536730384,0.11418365505945867,0.014978863170651268,mp,unstructured,DINA,9
NA,NA,NA,MAP,unstructured,DINA,10
NA,NA,NA,mp,unstructured,DINA,10
